tweet_id,timestamp,stage,ratings,dog_name,source_device,breed,confidence,retweet_count,favorite_count
892177421306343426,2017-08-01 00:17:27+00:00,not available,1.3,Tilly,Iphone,Chihuahua,0.323581,6514,33819
891815181378084864,2017-07-31 00:18:03+00:00,not available,1.2,Archie,Iphone,Chihuahua,0.716012,4328,25461
891689557279858688,2017-07-30 15:58:51+00:00,not available,1.3,Darla,Iphone,Labrador retriever,0.1680859999999999,8964,42908
891327558926688256,2017-07-29 16:00:24+00:00,not available,1.2,Franklin,Iphone,basset,0.555712,9774,41048
891087950875897856,2017-07-29 00:08:17+00:00,not available,1.3,unavailable,Iphone,Chesapeake Bay retriever,0.425595,3261,20562
890971913173991426,2017-07-28 16:27:12+00:00,not available,1.3,Jax,Iphone,Appenzeller,0.341703,2158,12041
890729181411237888,2017-07-28 00:22:40+00:00,not available,1.3,unavailable,Iphone,Pomeranian,0.566142,16716,56848
890609185150312448,2017-07-27 16:25:51+00:00,not available,1.3,Zoey,Iphone,Irish terrier,0.4875739999999999,4429,28226
890240255349198849,2017-07-26 15:59:51+00:00,doggo,1.4,Cassie,Iphone,Pembroke,0.511319,7711,32467
890006608113172480,2017-07-26 00:31:25+00:00,not available,1.3,Koda,Iphone,Samoyed,0.957979,7624,31166
889880896479866881,2017-07-25 16:11:53+00:00,not available,1.3,Bruno,Iphone,French bulldog,0.377417,5156,28268
889665388333682689,2017-07-25 01:55:32+00:00,puppo,1.3,unavailable,Iphone,Pembroke,0.966327,8538,38818
889638837579907072,2017-07-25 00:10:02+00:00,not available,1.2,Ted,Iphone,French bulldog,0.99165,4735,27672
889531135344209921,2017-07-24 17:02:04+00:00,puppo,1.3,Stuart,Iphone,golden retriever,0.953442,2321,15359
889278841981685760,2017-07-24 00:19:32+00:00,not available,1.3,Oliver,Iphone,whippet,0.626152,5637,25652
888917238123831296,2017-07-23 00:22:39+00:00,not available,1.2,Jim,Iphone,golden retriever,0.714719,4709,29611
888804989199671297,2017-07-22 16:56:37+00:00,not available,1.3,Zeke,Iphone,golden retriever,0.46976,4559,26080
888554962724278272,2017-07-22 00:23:06+00:00,not available,1.3,Ralphus,Iphone,Siberian husky,0.700377,3732,20290
